AGE,MARRIAGE,PAY_1,PAY_2,PAY_3,TARGET
40,1,0,0,0,0
41,1,1,2,0,0
36,1,0,0,0,0
35,1,0,0,0,0
38,1,0,0,0,0
40,1,0,0,0,0
32,1,0,0,0,0
37,1,0,0,0,0
39,1,0,0,0,0
36,1,1,2,2,0
41,1,0,0,0,0
40,1,0,0,0,0
44,1,0,0,0,0
40,1,0,0,0,0
43,1,0,0,0,0
35,1,0,0,0,0
40,1,0,0,0,0
39,1,1,2,0,0
36,1,0,0,0,0
39,1,0,0,0,0
38,1,2,2,0,0
39,1,0,0,0,0
40,1,3,3,4,0
41,1,0,0,0,0
31,1,0,0,0,0
39,1,0,0,0,0
38,1,0,0,0,0
37,1,0,0,0,0
39,1,0,0,0,0
35,1,0,0,0,0
34,1,0,0,0,0
42,1,0,0,0,0
40,1,0,0,0,0
32,1,0,0,0,0
32,1,0,0,0,0
38,1,0,0,0,0
33,1,0,0,0,0
37,1,0,0,0,0
43,1,0,0,0,0
31,1,0,0,0,0
39,1,0,0,0,0
34,1,0,0,0,0
37,1,0,0,0,0
36,1,0,0,0,0
41,1,0,0,0,0
34,1,0,0,0,0
36,1,0,0,0,0
33,1,0,0,0,0
37,3,0,0,0,0
41,1,1,2,0,0
32,1,0,0,0,0
36,1,0,2,2,0
37,1,0,0,0,0
40,1,0,0,0,0
35,1,1,0,0,0
34,1,0,0,0,0
40,1,0,0,0,0
34,1,0,0,0,0
37,1,0,0,0,0
36,1,0,0,0,0
34,1,0,0,0,0
35,1,0,0,0,0
38,3,0,0,0,0
39,1,1,2,0,0
37,1,0,0,0,0
33,1,1,2,0,0
37,1,0,0,0,0
39,1,1,2,0,0
40,1,0,0,0,0
33,1,0,2,0,0
35,1,2,0,0,0
40,1,0,0,0,0
37,1,1,0,0,0
35,1,0,0,0,0
39,1,0,0,0,0
34,1,0,0,0,0
37,1,0,0,0,0
38,1,0,0,0,0
37,1,0,0,0,0
32,1,0,0,0,0
37,1,0,0,0,0
38,1,0,0,0,0
39,1,0,0,0,0
36,1,1,0,0,0
36,1,1,2,0,0
37,1,0,0,0,0
40,1,0,0,0,0
38,1,0,0,0,0
37,1,0,0,0,0
32,1,1,0,2,0
37,1,0,0,0,0
41,1,0,0,2,0
39,1,0,0,0,0
32,1,0,0,0,0
38,1,0,0,0,0
39,1,0,0,0,0
35,1,0,0,0,0
43,1,0,0,0,0
41,1,0,0,0,0
40,1,0,0,0,0
39,1,0,0,0,0
35,1,0,0,0,0
43,1,0,0,0,0
29,1,0,0,0,0
37,1,0,0,0,0
38,1,0,0,0,0
40,1,0,0,0,0
36,1,0,0,0,0
40,1,0,0,0,0
40,1,0,0,0,0
39,1,1,3,2,0
43,1,1,2,0,0
37,1,0,0,0,0
42,1,1,0,0,0
32,1,0,0,2,0
39,1,0,0,0,0
41,1,0,0,0,0
40,1,0,0,0,0
40,1,0,0,0,0
37,1,0,0,0,0
37,1,0,0,0,0
39,1,0,0,0,0
37,1,0,0,0,0
38,1,0,0,0,0
35,1,0,0,0,0
34,1,1,0,0,0
36,1,0,0,2,0
43,1,0,0,0,0
38,1,0,0,0,0
36,1,0,0,0,0
34,1,0,0,0,0
36,1,0,0,0,0
36,1,4,4,3,0
35,1,0,0,0,0
30,1,0,0,0,0
42,1,0,0,0,0
34,1,0,0,0,0
35,1,0,0,0,0
41,1,0,0,0,0
36,1,0,0,0,0
35,1,0,0,0,0
39,1,1,2,0,0
36,1,0,0,0,0
39,1,0,0,0,0
42,3,0,0,0,0
39,1,0,0,0,0
34,1,0,0,2,0
42,1,0,0,0,0
41,1,0,0,0,0
34,1,0,0,0,0
38,1,0,0,2,0
38,1,0,0,0,0
38,1,0,0,0,0
44,1,0,0,0,0
38,1,0,0,0,0
39,1,1,2,2,0
38,1,1,2,0,0
38,1,0,0,0,0
34,1,0,0,0,0
38,1,1,0,0,0
40,1,0,0,0,0
42,1,0,0,0,0
38,1,0,0,0,0
36,1,0,0,0,0
37,1,0,0,0,0
34,1,0,0,0,0
37,1,0,2,0,0
35,1,0,0,2,0
40,1,0,0,0,0
43,1,2,2,0,0
37,1,0,0,0,0
39,1,0,0,0,0
36,1,0,0,0,0
40,1,0,0,0,0
38,1,0,0,0,0
39,1,0,0,0,0
40,1,1,2,0,0
39,1,0,0,0,0
38,1,0,0,0,0
42,1,0,0,0,0
37,1,0,0,0,0
39,1,1,2,0,0
33,1,0,0,0,0
35,1,0,0,0,0
35,1,0,0,0,0
35,1,0,0,0,0
35,1,0,0,0,0
39,1,0,0,0,0
35,1,0,0,0,0
36,1,0,0,0,0
43,1,0,0,0,0
41,1,0,0,0,0
38,1,0,0,0,0
38,1,0,0,0,0
41,1,0,0,0,0
37,1,0,0,0,0
38,1,0,0,0,0
36,1,0,0,0,0
34,1,2,2,2,0
35,1,1,0,0,0
42,1,0,0,0,0
37,3,1,0,0,0
41,1,0,0,0,0
30,1,0,0,0,0
39,1,0,0,0,0
31,1,0,0,0,0
33,1,0,0,0,0
34,1,0,0,0,0
33,1,0,0,0,0
34,1,0,0,0,0
37,1,0,0,0,0
40,1,0,0,0,0
43,1,0,0,0,0
40,1,0,0,0,0
42,1,1,3,2,0
36,1,0,0,0,0
34,1,0,0,0,0
37,1,0,0,0,0
39,1,0,0,0,0
35,1,0,0,0,0
40,1,0,0,0,0
38,1,0,0,0,0
35,1,0,0,0,0
37,1,2,2,0,0
37,1,0,0,0,0
34,1,0,0,0,0
37,1,0,0,0,0
36,1,0,2,2,0
38,1,0,0,0,0
36,1,0,0,0,0
38,1,2,0,0,0
36,1,0,0,0,0
34,1,0,0,0,0
38,1,0,0,0,0
43,1,0,0,0,0
35,1,0,0,0,0
37,1,0,0,0,0
39,1,0,0,0,0
44,1,1,2,2,0
33,1,0,0,0,0
37,1,3,3,2,0
42,1,0,0,0,0
41,1,0,0,2,0
39,1,0,0,0,0
36,1,1,0,0,0
37,1,0,0,0,0
35,1,0,0,0,0
32,1,0,0,0,0
38,1,2,2,2,0
40,1,0,0,0,0
40,1,0,2,2,0
39,1,0,0,0,0
38,1,0,0,0,0
39,1,0,0,0,0
39,1,0,0,2,0
35,1,0,0,0,0
34,1,0,0,0,0
35,1,0,0,0,0
43,1,0,0,0,0
37,1,0,0,0,0
40,1,0,0,0,0
40,1,0,0,0,0
36,1,0,0,0,0
40,1,0,0,0,0
33,1,0,0,0,0
35,1,1,0,0,0
38,1,0,0,0,0
42,1,0,0,0,0
30,1,0,0,0,0
35,1,0,0,0,0
41,1,0,0,0,0
33,1,0,0,0,0
38,1,2,2,2,0
38,1,0,0,0,0
34,1,1,2,0,0
37,1,0,0,0,0
37,1,0,0,0,0
34,1,0,0,0,0
35,1,0,0,0,0
36,1,1,0,0,0
36,1,0,0,0,0
39,1,0,0,0,0
38,1,0,0,0,0
35,1,0,0,0,0
37,1,0,0,0,0
37,1,0,0,0,0
43,1,0,0,0,0
42,1,0,0,0,0
37,1,0,0,0,0
42,1,0,0,0,0
37,1,0,0,0,0
38,1,0,0,0,0
29,1,0,0,0,0
39,1,0,0,0,0
38,1,0,0,0,0
38,1,0,0,0,0
45,1,0,0,0,0
40,1,0,0,0,0
37,1,0,0,0,0
34,1,0,0,0,0
41,1,1,0,2,0
33,1,0,0,0,0
38,1,2,2,2,0
35,1,0,0,0,0
37,1,0,0,0,0
41,1,0,0,0,0
34,1,0,0,0,0
32,1,0,0,0,0
38,1,2,0,0,0
42,1,0,0,0,0
35,1,1,0,0,0
44,1,0,0,0,0
40,1,0,0,0,0
34,1,0,0,0,0
34,1,0,0,0,0
36,1,0,0,0,0
32,1,0,0,0,0
34,1,0,0,0,0
41,1,0,0,0,0
37,1,0,0,0,0
41,1,1,0,0,0
42,1,0,0,0,0
38,1,0,0,0,0
39,1,0,0,0,0
36,1,1,2,2,0
40,1,0,0,0,0
36,1,0,0,0,0
37,1,1,2,2,0
39,1,0,0,0,0
37,1,0,0,0,0
39,1,0,0,0,0
41,1,0,0,0,0
38,1,1,0,0,0
34,1,0,0,0,0
38,1,1,2,2,0
41,1,0,0,0,0
39,1,0,0,0,0
34,1,0,0,0,0
31,1,1,0,0,0
41,1,1,0,0,0
42,1,0,0,0,0
34,1,0,0,0,0
31,1,0,0,0,0
42,1,0,0,0,0
38,1,0,0,0,0
34,1,0,0,0,0
37,1,0,0,0,0
43,1,0,0,0,0
41,1,0,0,0,0
35,1,0,0,0,0
43,1,0,0,0,0
35,1,0,0,0,0
41,1,0,0,0,0
41,1,0,0,0,0
36,1,0,0,0,0
34,1,1,0,0,0
34,1,1,0,0,0
42,1,0,0,0,0
37,1,0,0,0,0
40,1,0,0,0,0
43,1,0,0,0,0
38,1,0,0,0,0
33,1,1,2,0,0
43,1,0,0,0,0
39,1,1,0,0,0
37,1,0,0,0,0
38,1,0,0,0,0
40,1,1,2,2,0
39,1,0,0,0,0
40,1,0,0,0,0
31,1,0,0,0,0
38,1,2,0,0,0
30,1,1,2,2,0
34,1,0,0,0,0
39,1,0,0,0,0
40,1,0,0,0,0
40,1,3,2,0,0
35,1,0,0,0,0
39,1,0,0,0,0
37,1,0,0,0,0
42,1,1,0,0,0
37,1,1,2,0,0
40,1,0,0,0,0
43,1,0,0,0,0
40,1,0,0,0,0
38,1,0,0,0,0
36,1,0,0,0,0
40,1,0,0,0,0
36,1,1,0,0,0
39,1,0,0,0,0
40,1,0,0,0,0
35,1,0,0,0,0
39,1,0,0,0,0
40,1,0,0,0,0
41,1,0,0,0,0
29,1,0,0,0,0
39,1,0,0,0,0
42,1,1,0,0,0
33,1,0,0,0,0
36,1,0,0,0,0
41,1,0,0,0,0
36,1,0,0,0,0
36,1,2,2,2,0
34,1,0,0,0,0
36,1,0,0,0,0
34,1,2,0,0,0
38,1,0,0,0,0
